Job Title,Company,Date,Location,Skills,Link,Salary,Responsibilities
AI & Automation Developer (Python),Injaz Digital  -,3 days ago,"New Cairo, Cairo, Egypt",Full TimeOn-siteExperienced · 2 - 3 Yrs of Exp · IT/Software Development · Marketing/PR/Advertising · AI · Automation · Computer Science · Information Technology (IT) · Python · Software Development · Software Engineering · SQL,https://wuzzuf.net/jobs/p/nsexa8hf0rf2-ai-automation-developer-python-injaz-digital-cairo-egypt,Confidential,"2–3 years of experience in Python / Good understanding of AI tools (OpenAI APIs, automation tools, etc.) / Experience with APIs, integrations, and workflow automation / Strong problem-solving mindset / Someone who thinks business-first, not just tech-first / Fast learner and curious about new AI trends"
Junior Python - Django Full-Stack Developer,Software House Solution  -,2 days ago,"Heliopolis, Cairo, Egypt",Full TimeOn-siteExperienced · 2 - 4 Yrs of Exp · IT/Software Development · Engineering - Other · Python · Django · JavaScript · HTML5 · CSS3 · React · SQL · Git,https://wuzzuf.net/jobs/p/dpg5e7v6msbe-junior-python-django-full-stack-developer-software-house-solution-cairo-egypt,Confidential,"Bachelor’s degree in Computer Science, Software Engineering, or a related field. / 2-4 years of professional experience as a Python and Django developer. / Proven experience with front-end technologies such as HTML5, CSS3, JavaScript, and modern frameworks (e.g., React, Angular, or Vue.js). / Strong understanding of RESTful API design and integration. / Familiarity with relational databases such as PostgreSQL or MySQL. / Experience with version control systems, preferably Git. / Ability to work effectively in a fast-paced, collaborative, and open office environment. / Excellent problem-solving and analytical skills. / Strong communication and teamwork abilities. / Demonstrated ability to manage multiple priorities and meet deadlines."
Business Intelligence Engineer - SQL / PYTHON,RISEUP (Endemag for Administrative Skills Development) -,11 days ago,"Maadi, Cairo, Egypt",Full TimeHybridExperienced · 5+ Yrs of Exp · IT/Software Development · Analyst/Research · Engineering - Telecom/Technology · Business Intelligence · Computer Science · Information Technology (IT) · Engineering · Management · Python · SQL,https://wuzzuf.net/jobs/p/bl1q5hs5faeq-business-intelligence-engineer-sql-python-riseup-endemag-for-administrative-skills-development-cairo-egypt,Confidential,"SQL — Advanced proficiency (complex queries, window functions, query optimization) / Python — Intermediate to advanced (data manipulation, scripting, automation) / ETL Logic — Strong understanding of data extraction, transformation, and loading patterns / Data Modeling — Dimensional modeling, star/snowflake schemas / Communication — Strong written and verbal communication skills; ability to present insights to technical and non-technical stakeholders / Required Years of Experience: 5+"
Trainee Automation QA engineer,Vertex Technologies  -,19 days ago,"Cairo, Egypt",Full TimeOn-siteEntry Level · 0 - 2 Yrs of Exp · IT/Software Development · Quality · Quality Assurance · Test Automation · Selenium · Software Testing · Bug Tracking · Analytical Thinking · Agile Methodologies · Manual Testing,https://wuzzuf.net/jobs/p/e25of4jboe2r-trainee-automation-qa-engineer-vertex-technologies-cairo-egypt,Confidential,"Basic knowledge of at least one programming language (Python, JavaScript, or C#) at an introductory level (courses, self-study, or pet projects are enough) / Basic understanding of software testing fundamentals (manual and automated testing concepts) / General understanding of software development lifecycle and Agile principles / Willingness to learn automation testing tools and best practices / Good analytical thinking and attention to detail / English level Upper Intermediate or higher / Basic familiarity with bug-tracking systems and version control systems (e.g. Jira, Git) is a plus"
Splunk Administrator Engineer,Digital cloud for Technology and cybersecurity -,26 days ago,"Cairo, Egypt",Full TimeHybridExperienced · 2 - 7 Yrs of Exp · Administration · IT/Software Development · Engineering - Telecom/Technology · soc analyst L2 · Cybersecurity · SIEM · Splunk · Log Management · Data Analysis · Incident Response,https://wuzzuf.net/jobs/p/4foi9uwgik5k-splunk-administrator-engineer-digital-cloud-for-technology-and-cybersecurity-cairo-egypt,Confidential,"Unleash Your Expertise: Possess 2-7 years of hands-on experience in Splunk administration, SIEM operations, or a related cybersecurity engineering role. / Master of Security: A profound understanding of Cybersecurity principles, attack vectors, and defense mechanisms. / Splunk Savvy: Demonstrated mastery in Splunk Enterprise administration, including distributed environments, data ingestion, search head clustering, and indexer clustering. / SIEM Architect: Proven ability to design, implement, and optimize SIEM solutions for effective threat detection and response. / Log Management Maestro: Expertise in log management strategies, data parsing, and normalization from diverse sources. / Network & Cloud Security Acumen: Strong grasp of Network Security fundamentals and familiarity with Cloud Security concepts and practices. / Scripting Prowess: Proficiency in Scripting (e.g., Python, Bash) for automation, data manipulation, and Splunk API interactions. / Analytical Innovator: Exceptional Data Analysis and Problem Solving skills, with an ability to translate complex data into actionable insights. / Team Player & Communicator: Excellent Communication and interpersonal skills, capable of collaborating effectively in a remote, dynamic team setting. / Career Level: This role is ideal for an Experienced professional ready to take on significant responsibilities and drive impactful security initiatives."
Senior Data Scientist,Vertex Technologies  -,27 days ago,"Cairo, Egypt",Full TimeOn-siteExperienced · 5+ Yrs of Exp · IT/Software Development · English B2 · Machine Learning · Statistical Analysis · Python · gradient boosting algorithms · LLM · Generative AI technologies · Big Data Technologies,https://wuzzuf.net/jobs/p/8zkocqwyusni-senior-data-scientist-vertex-technologies-cairo-egypt,Confidential,"English level Upper Intermediate + / Strong mathematical and statistical background, including tensor calculus / Expertise in databases such as Postgres, MongoDB, and SQL / Proficiency in Python, with extensive experience in libraries such as Scikit-learn, Numpy, Pandas, and Matplotlib / In-depth knowledge and experience with gradient boosting algorithms (e.g., XGBoost, LightGBM) / Advanced experience with at least one neural network framework (TensorFlow/Keras, PyTorch), with a deep understanding of neural network architectures and optimisation techniques / Proven commercial experience with classic machine learning and deep learning, including NLP and computer vision (e.g., BERT, ResNet) / Experience in applying LLMs and Generative AI technologies (e.g., GPT, transformer-based architectures) in real-world use cases / Extensive experience in building end-to-end machine learning pipelines (data ingestion, preprocessing, model training, deployment, inference) and managing CI/CD workflows using GitHub/GitLab / Practical experience with Docker or Kubernetes platforms for deployment and scalability / Commercial experience with cloud platforms like AWS or Azure"
IT Software Specialist,Jessour Misr -,1 month ago,"Abu Rawash, Giza, Egypt",Full TimeOn-siteEntry Level · 1 - 2 Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · Information Technology (IT) · Computer Science · Engineering · Software Development · python development · Odoo ERP · Odoo Development · Communication,https://wuzzuf.net/jobs/p/5q5nwgwrpwjv-it-software-specialist-jessour-misr-giza-egypt,Confidential,"Haram or October Resdience / Bachelor’s degree in IT, Computer Science, or related field / 1-2 years of experience in IT support or system administration / Strong knowledge of networking, servers, and operating systems / Experience with ERP systems (Odoo is a plus) / Python experience / Good understanding of cybersecurity principles / Problem-solving mindset and strong attention to detail / Good communication skills (English required)"
GenAI RAG Engineer,Faze 3 Consulting -,13 days ago,"Cairo, Egypt",Full TimeOn-siteExperienced · 5 - 10 Yrs of Exp · IT/Software Development · Python · LLM APIs · Vector databases · Prompt Engineering · API Integration · Engineering · Engineering Services,https://wuzzuf.net/jobs/p/5br4ztezfqio-genai-rag-engineer-faze-3-consulting-cairo-egypt,Confidential,"MANDATORY REQUIREMENTS / Education. Bachelor’s in Computer Science (or very similar/related) from a Tier 1 / Tier 2 university. Master’s preferred. “Very similar/related” includes Software Engineering, Computer Engineering, Information Systems, Mechatronics, Applied Mathematics with software focus, and similar substantively quantitative or CS-equivalent engineering disciplines. / Experience. 5–10 years in software engineering, with at least 2 years building RAG pipelines or LLM-based applications that ran in production. / Core technical: / Strong Python / Deep working knowledge of LLM APIs and embeddings / Vector databases / Prompt engineering / API integration. / Mandatory certifications. Both of the following are required: “Generative AI with LLMs” (DeepLearning.AI) AND “LangChain for LLM Application Development” (DeepLearning.AI). / Engineering discipline. Production RAG without an evaluation loop is not engineering. Evidence of formal evaluation pipelines (RAGAS, custom eval sets, regression tests) is expected at interview. / Languages. Proficiency in English is required. / Strong Plus / LangChain or LlamaIndex framework experience at production scale. / Reranking models in production use — Cohere Rerank, cross-encoders, ColBERT, or fine-tuned rerankers. / Hybrid retrieval design (dense + sparse / BM25 / RRF). / Fine-tuned or domain-adapted embedding models. / Agentic / tool-use orchestration in production. / Hallucination evaluation tooling — RAGAS, TruLens, custom eval pipelines. / Cost / latency tuning experience — prompt caching, model routing, semantic cache. / Optional certifications: NLP / Transformers (Hugging Face), Vector Database (Pinecone). / A live GitHub with working RAG implementations. / Arabic-language RAG experience."
Data Analyst,Sprix -,14 days ago,"New Cairo, Cairo, Egypt",Full TimeHybridExperienced · 2 - 4 Yrs of Exp · Analyst/Research · Microsoft Excel · Power BI · Python,https://wuzzuf.net/jobs/p/485eob7kytt8-data-analyst-sprix-cairo-egypt,Confidential,Not Specified
Data analysis Instructor,Yat Learning Centers -,12 days ago,"Hadayek Alkobba, Cairo, Egypt",Freelance / ProjectRemoteExperienced · 3 - 15 Yrs of Exp · Education/Teaching · Training/Instructor · Data Analysis · Databases · Microsoft Excel · SQL · Python · Google Analytics · Power BI · Tableau,https://wuzzuf.net/jobs/p/gwifjzfunbq1-data-analysis-instructor-yat-learning-centers-cairo-egypt,Confidential,Minimum 3 years experience as Instructor. / Proven work experience / Up-to-date knowledge / Team spirit; strong communication skills to collaborate with various stakeholders / Good time-management skills / BSc in Computer Science or relevant field
Software Engineer Intern,Avidbeam Technologies -,13 days ago,"Maadi, Cairo, Egypt",InternshipRemoteStudent · IT/Software Development · Computer Science · Software Engineering · Software Development · c++ · Python · Docker · Programming · AI · JavaScript,https://wuzzuf.net/internship/luimrbjskisw-software-engineer-intern-avidbeam-technologies-cairo-egypt,Confidential,"Senior Graduates in Computer Science, Software Engineering, or a related field. / Basic understanding of software development principles, data structures, and algorithms. / Proficiency in programming language. / Strong analytical, problem-solving, and communication skills"
Senior Full-Stack Engineer,Oliv -,2 months ago,"Cairo, Egypt",Full TimeHybridExperienced · 5+ Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · Golang · Go · Python · PostgreSQL · Docker · DevOps · Fintech · Payments,https://wuzzuf.net/jobs/p/c1uddf4aotdw-senior-full-stack-engineer-oliv-cairo-egypt,Confidential,"5+ years of professional software engineering experience / Strong backend fundamentals, built and operated production services at scale / Comfortable working across the stack: APIs, databases, frontend, infrastructure / Experience with relational databases (Postgres strongly preferred) / Solid understanding of distributed systems, concurrency, and data integrity / Strong communicator who thrives with autonomy in a hybrid setup"
Data Analyst,Zinox&Master -,20 days ago,"Obour City, Cairo, Egypt",Full TimeOn-siteExperienced · 2 - 3 Yrs of Exp · males_only · IT/Software Development · Analyst/Research · Engineering - Telecom/Technology · Analysis · Computer Science · Information Technology (IT) · Data Analysis · Power BI · Tableau · Python,https://wuzzuf.net/jobs/p/fzv9lnkvfsdn-data-analyst-zinoxmaster-cairo-egypt,Confidential,"Bachelor’s degree in Computer Science, Data Science, Statistics, Business Analytics, or a related field / 2–3 years of strong hands-on experience in Data Analysis or a similar role / Advanced proficiency in SQL / Strong experience with Power BI or Tableau (including data modeling and DAX) / Solid understanding of ETL / ELT processes, data pipelines, and data workflows / Strong knowledge of data modeling / Experience in data transformation, data cleaning, and handling large datasets / Advanced Excel skills (Power Query, complex formulas, data manipulation) / Basic knowledge of Python for data analysis (Pandas, NumPy) / Experience working with APIs and integrating multiple data sources / Ability to calculate and analyze ROI (Return on Investment) to support business and marketing decisions"
Embedded Firmware Engineer,IMBoX  -,24 days ago,"New Cairo, Cairo, Egypt",InternshipHybridEntry Level · IT/Software Development · Engineering - Telecom/Technology · Embedded Systems · Software Engineering · C/C++ · Python · Embedded Linux · Microcontrollers · RTOS · Debugging,https://wuzzuf.net/internship/xmetvhb3shh7-embedded-firmware-engineer-imbox-cairo-egypt,Confidential,"Programming: Advanced proficiency in C/C++ and Python. / Embedded Linux: Hands-on experience with Linux/Ubuntu, including terminal proficiency and system configuration. / Communication Protocols: Solid understanding of UART, I2C, and SPI interfaces. / Problem Solving: Ability to read schematics and use basic lab tools (multimeters/logic analyzers) to debug hardware-software links. / Academic Level: Senior student or Fresh Graduate in Computer/Electronics Engineering."
